https://www.islamicfinder.org/prayer-times/print-yearly-prayers/?timeInterval=year&calendarType=Gregorian&year=2023

Day,Fajr,Sunrise,Dhuhr,Asr,Maghrib,Isha
01/01,06:29AM,07:42AM,12:41PM,03:21PM,05:39PM,06:53PM
01/02,06:29AM,07:43AM,12:42PM,03:22PM,05:40PM,06:54PM
01/03,06:30AM,07:43AM,12:42PM,03:22PM,05:41PM,06:55PM
01/04,06:30AM,07:43AM,12:43PM,03:23PM,05:41PM,06:55PM
01/05,06:30AM,07:43AM,12:43PM,03:24PM,05:42PM,06:56PM
01/06,06:30AM,07:43AM,12:44PM,03:25PM,05:43PM,06:57PM
01/07,06:30AM,07:43AM,12:44PM,03:26PM,05:44PM,06:58PM
01/08,06:30AM,07:43AM,12:44PM,03:26PM,05:45PM,06:59PM
01/09,06:30AM,07:43AM,12:45PM,03:27PM,05:46PM,06:59PM
01/01,06:30AM,07:43AM,12:45PM,03:28PM,05:47PM,07:00PM
01/11,06:30AM,07:43AM,12:46PM,03:29PM,05:47PM,07:01PM
01/12,06:30AM,07:43AM,12:46PM,03:30PM,05:48PM,07:02PM
01/13,06:30AM,07:43AM,12:46PM,03:30PM,05:49PM,07:03PM
01/14,06:30AM,07:42AM,12:47PM,03:31PM,05:50PM,07:03PM
01/15,06:30AM,07:42AM,12:47PM,03:32PM,05:51PM,07:04PM
01/16,06:30AM,07:42AM,12:47PM,03:33PM,05:52PM,07:05PM
01/17,06:30AM,07:42AM,12:48PM,03:34PM,05:53PM,07:06PM
01/18,06:29AM,07:41AM,12:48PM,03:35PM,05:54PM,07:07PM
01/19,06:29AM,07:41AM,12:48PM,03:36PM,05:55PM,07:08PM
01/20,06:29AM,07:41AM,12:49PM,03:36PM,05:56PM,07:09PM
01/21,06:29AM,07:40AM,12:49PM,03:37PM,05:57PM,07:09PM
01/22,06:28AM,07:40AM,12:49PM,03:38PM,05:58PM,07:10PM
01/23,06:28AM,07:39AM,12:50PM,03:39PM,05:59PM,07:11PM
01/24,06:28AM,07:39AM,12:50PM,03:40PM,06:00PM,07:12PM
01/25,06:27AM,07:38AM,12:50PM,03:41PM,06:01PM,07:13PM
01/26,06:27AM,07:38AM,12:50PM,03:42PM,06:02PM,07:14PM
